book,word,tfidf
TolstoiLetuchayamysh,летучая мышь,2.051165
PushkinKamennyigost,дон гуан,0.803516
TolstoiMyshi,кота спастись,0.558765
PushkinKamennyigost,дона анна,0.461864
TolstoiSobakaieeten,бросила своё,0.408328
TolstoiSobakaieeten,своё мясо,0.408328
TolstoiSobakaieeten,тень собака,0.408328
TolstoiSobakaieeten,своё волною,0.408328
TolstoiSobakaieeten,мясо несёт,0.408328
TolstoiShatiDon,шат иваныч,0.407217
TolstoiShatiDon,дон иваныч,0.407217
TolstoiVolk,ай ай,0.372557
TolstoiVorobei,лён воробей,0.366087
TolstoiSobakaieeten,зубах несла,0.355009
TolstoiSobakaieeten,волною унесло,0.355009
TolstoiSobakaieeten,собака шла,0.355009
TolstoiSobakaieeten,собака мясо,0.355009
TolstoiSobakaieeten,кинулась отнимать,0.355009
