book,word,tfidf
TolstoiOtecisynovya,отец и сыновья,0.865335
TolstoiMyshi,коту на шею,0.663533
TolstoiZaicyilyagushki,зайцы и лягушки,0.629335
TolstoiTelenoknaldu,телёнок на льду,0.497650
TolstoiSobakaieeten,своё волною унесло,0.408328
TolstoiSobakaieeten,бросила своё мясо,0.408328
TolstoiSobakaieeten,несёт она бросила,0.408328
TolstoiSobakaieeten,тень собака шла,0.408328
TolstoiSobakaieeten,собака мясо несёт,0.408328
TolstoiVorobei,птицы не послушались,0.393205
TolstoiShakalyislon,шакалы и слон,0.384593
TolstoiSobakaieeten,унесло и осталась,0.355009
TolstoiSobakaieeten,собаки того мяса,0.355009
TolstoiSobakaieeten,воде и подумала,0.355009
TolstoiSobakaieeten,зубах несла мясо,0.355009
TolstoiSobakaieeten,мясо и кинулась,0.355009
TolstoiSobakaieeten,дощечке через речку,0.355009
TolstoiSobakaieeten,несла мясо увидала,0.355009
